,user_id,item_id,term,length_of_stay_bucket,rate_plan,room_segment,n_people_bucket,weekend_stay,length_of_stay,n_people,night_price
50,48,40,OffSeason,[0-1],Standard,[0-160],[3-4],True,1,4,0.0
51,49,41,OffSeason,[0-1],Standard,[0-160],[1-1],True,1,1,0.0
52,50,42,OffSeason,[2-3],Standard,[0-160],[5-inf],True,2,5,134.6
53,51,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,2,2,134.6
54,52,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True,3,8,207.9
55,53,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,2,2,148.76
56,54,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,2,2,129.5
57,50,43,OffSeason,[2-3],Standard,[360-500],[5-inf],True,3,6,376.53
58,55,31,OffSeason,[2-3],Standard,[160-260],[3-4],True,2,3,207.91
59,56,44,OffSeason,[2-3],Standard,[160-260],[2-2],True,2,2,164.13
60,57,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,3,2,129.0
61,58,42,OffSeason,[2-3],Standard,[0-160],[5-inf],True,3,5,150.0
62,59,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,3,3,117.81
63,60,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,7,2,125.0
64,61,26,OffSeason,[2-3],Standard,[0-160],[2-2],False,3,2,113.98
65,62,45,OffSeason,[4-7],Standard,[0-160],[3-4],True,4,4,146.0
66,63,46,OffSeason,[2-3],Standard,[160-260],[3-4],False,3,4,169.0
67,64,47,OffSeason,[2-3],Standard,[0-160],[3-4],False,3,3,108.99
68,65,36,OffSeason,[4-7],Standard,[0-160],[3-4],False,5,3,120.14
69,66,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,3,3,102.17
70,67,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,3,4,123.34
71,68,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
72,69,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,2,2,95.08
73,70,48,OffSeason,[2-3],Standard,[260-360],[5-inf],True,2,7,287.1
74,71,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,2,4,105.65
75,72,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,2,3,103.95
76,73,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,4,2,105.0
77,74,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,3,2,95.09
78,75,45,OffSeason,[4-7],Standard,[0-160],[3-4],True,7,3,105.65
79,76,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,4,2,134.75
80,77,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,3,4,105.65
81,78,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,4,2,105.65
82,79,22,OffSeason,[2-3],Standard,[0-160],[1-1],False,2,1,95.08
83,80,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,7,2,146.6
84,81,49,OffSeason,[4-7],Standard,[0-160],[1-1],False,5,1,113.84
85,81,49,OffSeason,[4-7],Standard,[0-160],[1-1],False,5,1,105.45
86,81,49,OffSeason,[4-7],Standard,[0-160],[1-1],False,5,1,105.45
87,82,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,6,2,133.0
88,83,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,4,2,96.25
89,84,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,2,3,123.0
90,85,31,OffSeason,[2-3],Standard,[160-260],[3-4],True,3,4,172.13
91,86,44,OffSeason,[2-3],Standard,[160-260],[2-2],True,3,2,200.2
92,86,31,OffSeason,[2-3],Standard,[160-260],[3-4],True,3,4,200.2
93,87,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,3,2,108.28
94,1,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,2,2,103.95
95,1,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,2,2,103.95
96,89,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,3,2,116.1
97,90,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,2,2,129.0
98,91,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True,2,6,189.0
99,92,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,4,2,98.76
100,93,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,3,4,105.65
101,94,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,2,2,119.96
102,95,31,OffSeason,[2-3],Standard,[160-260],[3-4],True,3,3,190.19
103,96,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
104,97,45,OffSeason,[4-7],Standard,[0-160],[3-4],True,4,4,114.13
105,98,39,OffSeason,[8-inf],Standard,[0-160],[2-2],True,14,2,116.31
106,99,50,OffSeason,[4-7],Standard,[160-260],[3-4],True,4,4,193.96
107,100,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,4,2,105.65
108,101,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True,2,7,233.0
109,102,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,2,2,95.1
110,103,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,6,2,116.1
111,104,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,2,3,139.5
112,105,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,2,2,133.0
113,106,31,OffSeason,[2-3],Standard,[160-260],[3-4],True,2,4,251.0
114,107,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,3,4,116.1
115,108,31,OffSeason,[2-3],Standard,[160-260],[3-4],True,3,4,203.31
116,109,29,OffSeason,[2-3],Standard,[0-160],[1-1],True,3,1,104.49
117,110,42,OffSeason,[2-3],Standard,[0-160],[5-inf],True,3,6,106.22
118,110,42,OffSeason,[2-3],Standard,[0-160],[5-inf],True,3,6,153.09
119,110,42,OffSeason,[2-3],Standard,[0-160],[5-inf],True,3,6,153.09
120,111,19,OffSeason,[4-7],Standard,[0-160],[1-1],True,4,1,94.36
121,112,20,OffSeason,[2-3],Standard,[160-260],[1-1],True,3,1,168.63
122,113,2,WinterVacation,[2-3],Standard,[160-260],[2-2],False,2,2,160.05
123,114,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,7,4,0.0
124,116,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,4,0.0
125,116,51,WinterVacation,[4-7],Standard,[0-160],[1-1],True,4,1,0.0
126,116,51,WinterVacation,[4-7],Standard,[0-160],[1-1],True,4,1,0.0
127,117,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,4,0.0
128,118,52,WinterVacation,[4-7],Standard,[0-160],[5-inf],True,4,5,0.0
129,119,2,WinterVacation,[2-3],Standard,[160-260],[2-2],False,2,2,196.6
130,120,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,2,2,0.0
131,121,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,4,3,157.15
132,122,55,WinterVacation,[2-3],Standard,[0-160],[5-inf],False,3,7,0.0
133,123,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,7,4,0.0
134,124,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,4,3,0.0
135,125,55,WinterVacation,[2-3],Standard,[0-160],[5-inf],False,3,6,0.0
136,126,56,WinterVacation,[4-7],Standard,[160-260],[3-4],False,5,4,167.8
137,127,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
138,128,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,143.38
139,129,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
140,130,52,WinterVacation,[4-7],Standard,[0-160],[5-inf],True,7,5,0.0
141,131,59,WinterVacation,[0-1],Standard,[0-160],[1-1],True,1,1,0.0
142,132,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,7,4,0.0
143,133,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,2,8,0.0
144,134,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True,2,4,164.45
145,135,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
146,136,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,3,0.0
147,137,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
148,138,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,2,2,0.0
149,139,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
150,115,61,WinterVacation,[2-3],Standard,[0-160],[1-1],True,2,1,0.0
151,115,61,WinterVacation,[2-3],Standard,[0-160],[1-1],True,2,1,0.0
152,140,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,2,2,0.0
153,141,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,3,0.0
154,142,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
155,143,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,3,0.0
156,144,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,3,0.0
157,145,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,3,5,0.0
158,146,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,132.82
159,147,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,4,2,0.0
160,148,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,3,6,0.0
161,149,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,158.5
162,150,51,WinterVacation,[4-7],Standard,[0-160],[1-1],True,4,1,135.8
163,151,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
164,152,62,WinterVacation,[0-1],Standard,[0-160],[3-4],False,1,4,0.0
165,153,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
166,154,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,4,2,0.0
167,155,52,WinterVacation,[4-7],Standard,[0-160],[5-inf],True,4,6,0.0
168,156,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True,3,4,171.39
169,157,63,WinterVacation,[0-1],Standard,[0-160],[5-inf],False,1,7,0.0
170,158,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,4,0.0
171,159,64,WinterVacation,[2-3],Standard,[0-160],[3-4],False,3,3,0.0
172,160,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,4,2,0.0
173,161,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,4,0.0
174,162,51,WinterVacation,[4-7],Standard,[0-160],[1-1],True,4,1,0.0
175,163,55,WinterVacation,[2-3],Standard,[0-160],[5-inf],False,2,5,0.0
176,13,65,WinterVacation,[2-3],Standard,[0-160],[1-1],False,2,1,0.0
177,164,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,3,2,0.0
178,165,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,4,2,0.0
179,166,64,WinterVacation,[2-3],Standard,[0-160],[3-4],False,3,4,0.0
180,167,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,6,3,0.0
181,168,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,2,2,0.0
182,169,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,6,2,0.0
183,170,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,4,3,0.0
184,171,66,WinterVacation,[4-7],Standard,[0-160],[1-1],False,4,1,0.0
185,172,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,4,4,0.0
186,173,67,WinterVacation,[0-1],Standard,[0-160],[1-1],False,1,1,137.95
187,115,67,WinterVacation,[0-1],Standard,[0-160],[1-1],False,1,1,0.0
188,115,67,WinterVacation,[0-1],Standard,[0-160],[1-1],False,1,1,0.0
189,115,67,WinterVacation,[0-1],Standard,[0-160],[1-1],False,1,1,0.0
190,115,67,WinterVacation,[0-1],Standard,[0-160],[1-1],False,1,1,0.0
191,115,67,WinterVacation,[0-1],Standard,[0-160],[1-1],False,1,1,0.0
192,174,65,WinterVacation,[2-3],Standard,[0-160],[1-1],False,2,1,0.0
193,175,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,5,3,0.0
194,175,68,WinterVacation,[4-7],Standard,[0-160],[2-2],False,5,2,0.0
195,176,69,WinterVacation,[4-7],Standard,[0-160],[5-inf],False,4,5,0.0
196,177,64,WinterVacation,[2-3],Standard,[0-160],[3-4],False,3,4,0.0
197,178,64,WinterVacation,[2-3],Standard,[0-160],[3-4],False,3,4,0.0
198,179,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,5,4,0.0
199,179,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,5,4,0.0
200,180,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,2,6,0.0
201,181,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
202,182,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,3,0.0
203,183,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
204,184,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
205,185,70,WinterVacation,[0-1],Standard,[0-160],[5-inf],True,1,7,0.0
206,186,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
207,187,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,7,4,0.0
208,187,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,7,4,0.0
209,188,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,6,3,0.0
210,189,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,3,6,0.0
211,190,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,2,5,0.0
212,191,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,3,0.0
213,192,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
214,193,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
215,194,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,7,3,0.0
216,195,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
217,196,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
218,197,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,3,6,0.0
219,198,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
220,199,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,4,2,0.0
221,200,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,3,0.0
222,201,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,2,2,0.0
223,202,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,2,2,0.0
224,203,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,2,5,0.0
225,204,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,2,5,0.0
226,205,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,3,0.0
227,206,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
228,207,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,2,2,0.0
229,208,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,4,0.0
230,209,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
231,210,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,2,2,0.0
232,211,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,2,6,0.0
233,212,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,3,0.0
234,213,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,2,2,0.0
235,214,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
236,215,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,3,0.0
237,216,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,7,2,0.0
238,217,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,2,6,0.0
239,218,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,2,2,0.0
240,219,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,3,0.0
241,220,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
242,220,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,3,6,0.0
243,221,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,3,6,0.0
244,222,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
245,223,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,4,2,0.0
246,224,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
247,225,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True,3,4,174.43
248,225,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
249,226,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
250,227,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,3,0.0
251,228,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
252,229,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
253,115,67,WinterVacation,[0-1],Standard,[0-160],[1-1],False,1,1,0.0
254,115,61,WinterVacation,[2-3],Standard,[0-160],[1-1],True,2,1,0.0
255,230,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,3,0.0
256,231,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
257,232,71,WinterVacation,[0-1],Standard,[0-160],[2-2],False,1,2,0.0
258,233,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,3,0.0
259,234,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
260,235,61,WinterVacation,[2-3],Standard,[0-160],[1-1],True,2,1,0.0
261,236,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,4,2,0.0
262,237,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
263,238,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,7,3,0.0
264,239,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,3,7,0.0
265,240,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
266,241,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,4,2,0.0
267,241,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,4,2,0.0
268,242,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,4,0.0
269,243,71,WinterVacation,[0-1],Standard,[0-160],[2-2],False,1,2,0.0
270,115,67,WinterVacation,[0-1],Standard,[0-160],[1-1],False,1,1,0.0
271,244,64,WinterVacation,[2-3],Standard,[0-160],[3-4],False,2,4,0.0
272,245,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,2,2,0.0
273,246,62,WinterVacation,[0-1],Standard,[0-160],[3-4],False,1,3,0.0
274,247,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,3,0.0
275,248,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,3,0.0
276,249,55,WinterVacation,[2-3],Standard,[0-160],[5-inf],False,3,5,0.0
277,250,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,7,4,0.0
278,251,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,4,0.0
279,252,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,5,3,0.0
280,253,64,WinterVacation,[2-3],Standard,[0-160],[3-4],False,2,3,0.0
281,254,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,5,2,0.0
282,255,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,3,2,0.0
283,256,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,4,4,0.0
284,257,64,WinterVacation,[2-3],Standard,[0-160],[3-4],False,3,4,0.0
285,258,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,4,4,0.0
286,259,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,2,2,0.0
287,260,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,3,2,0.0
288,261,66,WinterVacation,[4-7],Standard,[0-160],[1-1],False,4,1,0.0
289,262,66,WinterVacation,[4-7],Standard,[0-160],[1-1],False,4,1,0.0
290,263,64,WinterVacation,[2-3],Standard,[0-160],[3-4],False,3,4,0.0
291,264,65,WinterVacation,[2-3],Standard,[0-160],[1-1],False,3,1,0.0
292,265,68,WinterVacation,[4-7],Standard,[0-160],[2-2],False,4,2,0.0
293,266,55,WinterVacation,[2-3],Standard,[0-160],[5-inf],False,2,6,0.0
294,267,66,WinterVacation,[4-7],Standard,[0-160],[1-1],False,4,1,0.0
295,268,51,WinterVacation,[4-7],Standard,[0-160],[1-1],True,5,1,0.0
296,269,65,WinterVacation,[2-3],Standard,[0-160],[1-1],False,3,1,0.0
297,270,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,2,2,0.0
298,271,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,3,2,0.0
299,272,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,4,3,0.0
300,272,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,4,4,0.0
301,273,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,3,2,0.0
302,274,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,5,4,0.0
303,275,64,WinterVacation,[2-3],Standard,[0-160],[3-4],False,2,4,0.0
304,276,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,5,4,0.0
305,277,68,WinterVacation,[4-7],Standard,[0-160],[2-2],False,4,2,0.0
306,278,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,5,4,0.0
307,279,53,WinterVacation,[2-3],Standard,[0-160],[2-2],False,2,2,0.0
308,280,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,4,3,0.0
309,13,65,WinterVacation,[2-3],Standard,[0-160],[1-1],False,2,1,0.0
310,281,54,WinterVacation,[4-7],Standard,[0-160],[3-4],False,5,4,0.0
311,282,71,WinterVacation,[0-1],Standard,[0-160],[2-2],False,1,2,0.0
312,283,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,6,4,0.0
313,284,69,WinterVacation,[4-7],Standard,[0-160],[5-inf],False,5,5,0.0
314,285,52,WinterVacation,[4-7],Standard,[0-160],[5-inf],True,4,6,0.0
315,286,70,WinterVacation,[0-1],Standard,[0-160],[5-inf],True,1,6,0.0
316,287,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,6,2,0.0
317,288,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,2,4,0.0
318,289,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,4,2,0.0
319,290,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
320,291,72,WinterVacation,[8-inf],Standard,[0-160],[5-inf],True,8,5,0.0
321,292,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,2,6,0.0
322,293,57,WinterVacation,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
323,294,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,6,4,0.0
324,295,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,2,9,0.0
325,296,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,2,6,0.0
326,297,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,4,3,0.0
327,298,58,WinterVacation,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
328,299,60,WinterVacation,[2-3],Standard,[0-160],[5-inf],True,3,5,0.0
329,300,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,5,4,0.0
330,301,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,6,3,0.0
